score,review
2.0 out of 5 stars,"
  Won't be ordering any more of these. Any food that gets on them leaves a stain that never comes out. I've never had shirts stain so easily. If you spill a drink on it, it beads up and rolls off, which is cool. But any kind of sauce, oil, anything with fat will instantly and permanently bond to the shirt.<br><br>On the plus side they fit great and look nice. Fabric is thin and cool. I wear them every day as work shirts. But I can't be replacing them constantly because I get a little dribble of salad dressing on them.
"
4.0 out of 5 stars,"
  These are essentially long sleeve t shirts with collars.  The material is extremely thin.  I expected them to be thicker, similar to some Jerzees t shirts I have. However, the fit is excellent on me so I kept them.  Don’t count on them keeping you very warm though.  If it’s ultralight weight you’re looking for , these are perfect. They should breathe well.  I’m 5’11 / 185 lbs with an athletic build and XL fit good.<br><br>Update:  After washing these (with cheer color guard only) the material actually got thicker and softer feeling, and the shirt is quite comfortable.  I’m wearing it right now for the first time.  The cuffs are extremely soft and luxurious feeling, and the shirt is nice and soft to the touch, more-so than expected.  It’s in the low 60’s right now in Chicago and the shirt is perfect (for me).  It’s still a rather thin material for a long sleeve shirt (thus the economical price) but it’s perfect for wearing around the house with shorts or as a layer under a jacket or warm sweater when the temps drop to the low 40’s tonight.  The material has a nice stretchiness to it, but I think it’s in the weave and not the material, which is 50/50 cotton/polyester, no mention of the common 2% Lycra.  It didn’t shrink much, if at all,  in the wash;  they advertise that it’s preshrunk and I’d agree, and the length, both shirt and sleeve, for XL is plentiful for me at 5’11”.  Often the arms shrink and end up a little short on me unless I go up a size, so this is a nice surprise.  Jerzees didn’t skimp on the amount of, albeit thin, material.  This polo is well worth the $10 price on Amazon.
"
5.0 out of 5 stars,"
  I found myself struggling most mornings to put an outfit together for work, my solution - create a uniform! These have all the fashion and function of a button down, without requiring you to actually button anything. They are durable and machine washable, which add an extra layer of convenience and they go well with a sport jacket, making them versatile (and inexpensive) additions to your corporate wardrobe.
"
1.0 out of 5 stars,"
  Super thin material. See my photo showing how see through this is. Thank God I bought a white T-shirt for underneath. This is for my 13 yo son who has a little weight issue. He needs it for a orchestra concert tomorrow so I’m stuck with it and I hope the T-shirt is a good barrier. So if you’re not perfectly ripped and don’t want people to see your moobs or belly, don’t buy this shirt!
"
5.0 out of 5 stars,"
  This is my second shirt from this style. I got a blue one and liked it a lot, now have a color choice. Originally wanted long sleeve protection when doing outdoor community outreach projects for a club. For that purpose it is excellent. It turns out to be stylish enough to wear to casual nice activities like a meal with family. I usually end up wearing my lunch. Yesterday a blob of dressing from a sandwich wiped right off and the shirt came through the wash with no spot. Good stain protection and no wrinkles from the dryer. Fit is as expected (just right for my XXL torso) and finish quality is good. Very happy with this shirt!
"
5.0 out of 5 stars,"
  You maybe looking at this shirt because you want to wear it for work or for everyday. It will totally work for both but I needed a halloween costume. So I purchased it 3 sizes too big and went a Felicia from the movie Friday.
"
3.0 out of 5 stars,"
  The color and size were as expected, but the shirt is pretty thin.  It wrinkles pretty easily.  It was good for summer.  The issue I usually have with polos are:<br>1. The collar<br>2. The sleeves<br>3. The length<br><br>The collar on this one was ok.  Over time though, because it is thin, I expect it will roll up at the ends, which is annoying<br>The sleeves on this are odd, which may be because of the thinness.  Where the band on the end of the sleeve is sewn to the sleeve it is very pronounced.  It makes it just kind of look odd.<br>Time will tell on the length.  What I see usually happens is that the back of the shirt will shrink up, and the front won't... which makes it wearable only if you tuck it in.  Otherwise it gets a boxy look.  I expect this one will do that, but so far it's ok.<br><br>Overall was hoping for a solid cheap polo, and was planning to buy several more. Glad I waited and only got one to try out, because my search continues.
"
1.0 out of 5 stars,"
  Strange feel for a cotton/poly mix. The shirt is very scratchy to the point of irritation, especially around the collar. The sleeves are ultra-tight at the wrists. And the general shape is American -- i.e., small in the chest, big in the belly... I originally thought all the color variations were a great feature. But I would not buy this shirt again after purchasing just one. ""You get what you pay for"" definitely holds true on this one...
"
5.0 out of 5 stars,"
  I bought this for myself. I'm a 145 lb woman standing 5' 8"". I wanted long sleeves and couldn't find this shirt in the women's dept. I was amazed at how good the top fit in xl. The sleeves are nice and long and the material is a cotton blend, which makes it lightweight. The length of the body is long, so if you're long waisted this will fit. It's almost too long for me as it comes down to the tops of my thighs. Great product, I'd definitely purchase this again.
"
5.0 out of 5 stars,"
  The product was of  high quality and as advertised. The vendor delivered timely, well packaged and performed as advertised. I would highly recommend both the vendor and the product.
"
