score,review
5.0 out of 5 stars,"
  My experience with buying formal wear online has been mixed at best, but this was a huge exception. The quality of the shirt and its material are first-rate and it arrived on my doorstep within 2 days of purchase.
"
5.0 out of 5 stars,"
  Good
"
5.0 out of 5 stars,"
  Fit perfectly, im 5'10 , 160 pounds and got a large. Material is bit thin though, but not a big problem
"
5.0 out of 5 stars,"
  This shirt is worth the money. Purchased for my son and he  loves this shirt and so does his girlfriend. I will definitely purchase other colors.
"
5.0 out of 5 stars,"
  Tela de perfecta calidad !!! Me fascinó!!! Gracias !!!
"
2.0 out of 5 stars,"
  It was very short on my soon to be hubby. It is also an odd material, not your typical light dress shirt. It is thick as well which is not a good thing for a summer wedding.
"
5.0 out of 5 stars,"
  Great shirt for word. Grear fabric. I ordered  a pair of this in white color and light blue. Love the way it fits and feels comfortable. Definitely will buy again if it has more light colors
"
5.0 out of 5 stars,"
  This material feels like nirvana! Love everything about this shirt.
"
5.0 out of 5 stars,"
  My husband is a mens small and it fit great in that size.
"
5.0 out of 5 stars,"
  Son needed a shirt quick for a school performance.  Arrived as expected via prime and fit well.  For a shirt that won’t be work more than 5 times, zero complaints.
"
2.0 out of 5 stars,"
  I purchased this for work and specifically require a non-textured white shirt. The photos indicated that there was no texture. However, this is completely unusable for my job. Fit was a bit larger than expected. And the collar seems horrifically unaligned at best. Incredibly disappointed.
"
1.0 out of 5 stars,"
  Please, take care about packaging!!! Expensive for the quality!  Size okay.  But the bag was riped and  I have to wash this shirt, because is dirty!!!
"
4.0 out of 5 stars,"
  This dress shirt met my expectation. It is very comfortable, fits well, properly tailored and the color is soft and ""easy of the eyes"". I purchased this shirt for work however I am considering purchasing another for church.
"
3.0 out of 5 stars,"
  This is a slim fitted shirt. I was not expecting it to be a sort of ribbed material, but it does add a little bit to they style. If you are a guy with large arms and forearms.. this one may not be for you, unless you want to hulk out of the shirt. I bought a large and it hugs around the arms.
"
5.0 out of 5 stars,"
  Nice dress shirt!
"
5.0 out of 5 stars,"
  Nice packaging fits well
"
5.0 out of 5 stars,"
  Perfect fit
"
5.0 out of 5 stars,"
  Hubs wore this for family photos and couldnt stop saying how it was the best fitting button down he has ever owned. He has a smaller waist and large shoulders and arms and it fit perfectly!
"
5.0 out of 5 stars,"
  Shirt fits good and seems to be of good quality
"
5.0 out of 5 stars,"
  Really satisfied
"
5.0 out of 5 stars,"
  Would purchase again, very unique material to what I'm used to wearing but I like
"
5.0 out of 5 stars,"
  excellent.
"
5.0 out of 5 stars,"
  Nice shirt
"
5.0 out of 5 stars,"
  Fits perfect and looks great! One of my favorite shirts!
"
3.0 out of 5 stars,"
  Cheaply made, but look at the price.  Great to wear for a couple special occasions, then it falls apart.
"
4.0 out of 5 stars,"
  Quality shirt. Love the design. Fits more like a skinny and not slim. Order one to two sizes larger.
"
5.0 out of 5 stars,"
  Purple was a little darker than I thought but nothing I can’t live with since everything else is perfect.Great
"
5.0 out of 5 stars,"
  Excellent shirts! True to size and material stays wrinkle free after long days.
"
5.0 out of 5 stars,"
  great fitting
"
5.0 out of 5 stars,"
  It fit amazingly. My son had to wear this to perform a dance routine and it didn’t rip or tear.
"
5.0 out of 5 stars,"
  Great quality and true to size, I ordered it for my wedding and I can't wait to wear it. All of my groomsmen are getting this shirt! Id reccomend it and buy it again
"
5.0 out of 5 stars,"
  Gave out as gift and he loved it. Great quality and feel for the price. Looks sharp with jeans or slacks.
"
5.0 out of 5 stars,"
  Very good shirt for price
"
5.0 out of 5 stars,"
  great for the price. Fits nicely, looks great.
"
4.0 out of 5 stars,"
  Size chart M is loose for an average body but seems to be a very well made shirt.
"
5.0 out of 5 stars,"
  This shirt is great material! However, I listened to the reviews and ordered a size too big. THE REVIEWS LIED. So now I've spent $20 on a shirt that I can't wear because it's huge. Would really like to know if I can exchange it. I'm disappointed because it is a very nice shirt
"
3.0 out of 5 stars,"
  I did not even open the package because aI didn't care for the fabric.
"
5.0 out of 5 stars,"
  Great quality and great value.
"
5.0 out of 5 stars,"
  Just as the picture. Good quality.<br>I will order different colors.
"
4.0 out of 5 stars,"
  Shirt fits good. Its soft. And is good for the price.
"
2.0 out of 5 stars,"
  I hope it would be a atheltic fit it wasnt very disappointed
"
5.0 out of 5 stars,"
  This product was worn at a middle school semi-formal dance.
"
4.0 out of 5 stars,"
  Too baggy for what i usually buy but nice quality a even though the fabrics a little too stiff
"
5.0 out of 5 stars,"
  The medium was too tight. Seller is sending a large one free of charge. Thx
"
3.0 out of 5 stars,"
  The picture appears to have the shirt sides pinned in the back to give it a slim look.  I am 6-foot, 170-lbs and while the arms and neck are perfect, the body of the shirt is not form fitting at all.  Love the quality and texture...not a true-slim fit.
"
5.0 out of 5 stars,"
  Loved the way it fit my husband. If your a Large go a size bigger
"
5.0 out of 5 stars,"
  It was nice and lightweight
"
5.0 out of 5 stars,"
  The person who received this shirt says it has a nice feel and fits well.
"
2.0 out of 5 stars,"
  Sizing chart says XL 36/37 sleeves, however they're shorter than my shirts with 34/35 sleeves... On the ""up"" side they are slim fit, and the material is nice.
"
4.0 out of 5 stars,"
  My grandson did not like the material other then that it fit perfect, had to give to his father
"
4.0 out of 5 stars,"
  Worked well for the one time being worn .
"
5.0 out of 5 stars,"
  Ok
"
5.0 out of 5 stars,"
  Gift for husband. He really likes the fit.
"
5.0 out of 5 stars,"
  fits like the size it’s says seems to be good quality looks good too
"
5.0 out of 5 stars,"
  Surprisingly cheap for how comfortable it is, looks very nice, very bright white
"
4.0 out of 5 stars,"
  Button popped, fabric tore, but then again maybe I was flexing too much.
"
5.0 out of 5 stars,"
  Great shirt, soft and breathes well. Nice tailored look, fits true to size.
"
5.0 out of 5 stars,"
  Great fit and feel
"
5.0 out of 5 stars,"
  Totally worth for it's price. Fits as expected.
"
2.0 out of 5 stars,"
  I'm not big but wow was this small
"
5.0 out of 5 stars,"
  Worn for a wedding. Bought normal shirt size and if fit perfect
"
1.0 out of 5 stars,"
  Wasn't 'slim fit' as expected. Also came at LEAST a size too large. Material is thin and translucent, but that's on par for a shirt this cheap.
"
3.0 out of 5 stars,"
  Really nice shirt but the sleeves were too short. I roll them up and it works out for a casual look, but I can't wear it with a suit.
"
5.0 out of 5 stars,"
  perfect fit
"
5.0 out of 5 stars,"
  Nice shirt
"
5.0 out of 5 stars,"
  My husband is very picky with his shirts, he loved this one it fit him perfect.
"
5.0 out of 5 stars,"
  Great fit cool style
"
5.0 out of 5 stars,"
  Very nice
"
3.0 out of 5 stars,"
  The shirt is too long to wear untucked.  Had tailor take up length by two inches.
"
5.0 out of 5 stars,"
  Great quality.
"
5.0 out of 5 stars,"
  Nice
"
5.0 out of 5 stars,"
  Came in nice time just in time for my bday vacation. Nice made nice fit. And nice material. Excited in shopping again
"
2.0 out of 5 stars,"
  Nice looking dress shirt, unfortunately the size is more a men's m than a men's xl.
"
2.0 out of 5 stars,"
  Hard to iron even with a steamer doesn't look all ok. Please read the description carefully
"
5.0 out of 5 stars,"
  The cloth is so soft and you can see your skin underneath. Love it!
"
5.0 out of 5 stars,"
  I used this shirt for a photoshoot on the beach of my me and fiance's engagement and the shirt fit like a glove.  Good material that breathed well and nice pattern.  He loved and and I loved it on him even more.
"
5.0 out of 5 stars,"
  no
"
4.0 out of 5 stars,"
  Great and stylish shirt for the price
"
5.0 out of 5 stars,"
  My husband is 5'8 178 lbs I got him a large.
"
5.0 out of 5 stars,"
  perfect fit, great quality
"
4.0 out of 5 stars,"
  Really slim will be so nice. The shirt is so nice.
"
5.0 out of 5 stars,"
  I weigh 186 with broad shoulders and 34"" waist. The large fit me perfect. If you don't like clothes that fit really snug, get the XL.
"
1.0 out of 5 stars,"
  These shirts suck. I’m 5’5. Average build, broad chest and 31 waist. Normally I take a medium slim fit. I couldn’t even get the buttons to touch at the top of the shirt. I guess you get what you pay for, but in this case,  I didn’t because I sent it right back.
"
5.0 out of 5 stars,"
  Not your boyfriends shirt anymore!
"
5.0 out of 5 stars,"
  comfortable material and fit. Not too snug but tapered nicely
"
4.0 out of 5 stars,"
  It’s ok
"
5.0 out of 5 stars,"
  Great
"
