score,review
5.0 out of 5 stars,"
  One of the best polos I've ever had! Fits perfectly and it's very good quality. Highly recommended!
"
4.0 out of 5 stars,"
  The collar doesn't lay correctly, but other than that, love the shirt.
"
5.0 out of 5 stars,"
  Suave al tacto. Excelente producto!
"
5.0 out of 5 stars,"
  As soft as it gets . Not worth full MSRP price
"
5.0 out of 5 stars,"
  Fits, looks and is truly great quality love the style as well. Exactly what I wanted in a polo shirt!!
"
5.0 out of 5 stars,"
  Perfect for the hot weather here in Vegas
"
5.0 out of 5 stars,"
  Excellent quality with value for money. I wanted a higher quality shirt to wear with chinos and this shirt met my needs with style and presentation. I bought two shirts (white and). Only disappointment is unavailability of several colors including green.
"
5.0 out of 5 stars,"
  muy ligera
"
5.0 out of 5 stars,"
  Very good quality and fit
"
4.0 out of 5 stars,"
  Good
"
5.0 out of 5 stars,"
  Very sexy shirt
"
3.0 out of 5 stars,"
  Too small.. You need to go at least a size up. Maybe 2
"
3.0 out of 5 stars,"
  I have been wearing liquid touch polo shirts in past which were made in Vietnam (this one is made in Sri lanka) and this one does not fit as good as previous ones (it is bit long and loose from chest; does not appear as a slim fit)
"
5.0 out of 5 stars,"
  Feels great still even after washing a couple of times. I especially like the sleeves as they pull in around my biceps giving them the appearance of looking bigger then they are.
"
5.0 out of 5 stars,"
  5stars
"
3.0 out of 5 stars,"
  The seams on the inside shoulders of the shirt scratch against the shoukders. Not comfortable.
"
5.0 out of 5 stars,"
  Perfect fit. Comfortable.
"
5.0 out of 5 stars,"
  very comfy , I will be buying couple more to have a side .
"
5.0 out of 5 stars,"
  I was looking for basic polo shirts for work. Also wanted good quality and 100% cotton. These shirts are all that and more. Extremely comfortable and cool.<br>Will be getting all the other available colors.
"
5.0 out of 5 stars,"
  This polo shirt fit better than I expected, and the fabric is incredibly soft. Looking forward to wearing this for many years to come!
"
5.0 out of 5 stars,"
  The comfort and fit of the shirt was good.  The fabric does feel a little heavy for what I was expecting from Calvin Klein.  There's not a lot of breathability through the shirt.  Overall, a decent shirt.
"
1.0 out of 5 stars,"
  No me gustó para nada mi talla es M y lo mandaron M/M demasiado ancho
"
5.0 out of 5 stars,"
  I like the color and it Airways to be be well made and an original ck
"
5.0 out of 5 stars,"
  Color matches exactly the photo.  The fabric quality and shirt in general is excellent.
"
5.0 out of 5 stars,"
  My husband lived the way it fitted him. Light weight. Comfortable and dress up or dress down.
"
5.0 out of 5 stars,"
  good looking and comfortable to wear.
"
5.0 out of 5 stars,"
  Super comfortable and great quality I hope they never change
"
2.0 out of 5 stars,"
  Fit was not slim fit.  If clavin klein is known for fit and style, then this is mislabelled.<br><br>Probably a good shirt for summer golf.
"
5.0 out of 5 stars,"
  Perfect!
"
5.0 out of 5 stars,"
  Fit very perfect! Bety good material, Is CK original
"
1.0 out of 5 stars,"
  Shirt fit ok at first but after one wash went from a large to now sized for a large awkwardly shaped toddler.
"
1.0 out of 5 stars,"
  Would not buy this again... extremely short shirt.
"
1.0 out of 5 stars,"
  el estilo es muy mal no vale la pena pagar $50
"
5.0 out of 5 stars,"
  Real Calvin Klein shirt and first time I’ve bought one since I can afford the price  . That being said it’s a plain black polo shirt . Very soft , well made .
"
5.0 out of 5 stars,"
  Good looking shirt, fits very well
"
3.0 out of 5 stars,"
  Its a good quality shirt but its not dry fit like. Played golf once and after 2 rounds, was sweaty and back was completely wet. Will need to use for casual wear only
"
3.0 out of 5 stars,"
  I'm 6'3"" and about 200 lbs. Not a big gut either. The shirt is just a couple of inches too short. Fine when standing still, but uncomfortable when reaching, or bending. No way there is enough to tuck in.
"
5.0 out of 5 stars,"
  Bought this shirt for my boyfriend he loved it and the color looked good on him too also the material is soft and comfortable.
"
5.0 out of 5 stars,"
  This may be my new ""go to"" polo.  The fit is great!  It looks great, and is very comfortable.
"
5.0 out of 5 stars,"
  Espectacular se ciñe al cuerpo y su color y diseño geniales.. Compre la azul marino
"
5.0 out of 5 stars,"
  Very satisfied with my purchase, original Calvin Klein product.
"
3.0 out of 5 stars,"
  ok
"
5.0 out of 5 stars,"
  Great product very comfortable
"
2.0 out of 5 stars,"
  The shirt I received did not match the picture and none of the tags on it stated it had a 30-50 UV resistant rating. The shirt I received was totally white. The shirt I thought I was ordering based on the picture was supposed to be white with a light grey collar with three different colored stripes across the chest area.
"
5.0 out of 5 stars,"
  Great quality, light and smooth.
"
5.0 out of 5 stars,"
  Comfy!!!  Looks great!
"
5.0 out of 5 stars,"
  VERY GOOD K
"
5.0 out of 5 stars,"
  Soft and durable fabric. Can wash at home does not wrinkle.
"
5.0 out of 5 stars,"
  Excellent quality
"
5.0 out of 5 stars,"
  I buy this style for my husband and he loves them. They are comfortable and look great on him.
"
5.0 out of 5 stars,"
  Muy buena calidad
"
5.0 out of 5 stars,"
  Good quality shirt.  Very lightweight.  Breaths well.  Fits as expected.
"
2.0 out of 5 stars,"
  Cheap quality shirt.
"
5.0 out of 5 stars,"
  Nice material, black is nice
"
5.0 out of 5 stars,"
  Muy bueno
"
5.0 out of 5 stars,"
  Fits and looks great.
"
5.0 out of 5 stars,"
  Regalo para mi esposo! Le gustó mucho!
"
4.0 out of 5 stars,"
  Material is good
"
5.0 out of 5 stars,"
  So far, so good - we will see how it wears
"
