score,review
1.0 out of 5 stars,"
  Dear Potential Buyers.<br>before you buy I would like you to know a few facts about this product.<br>1) The color is cream - close to ivory;  it is not white, in fact it is far from white.<br>2) If you have a high performance job (a waiter,  a barman or you spend some  hours in office wearing the  suit), than you will feel like wearing a plastic bag - wet and uncomfortable with strong sensation of aching.<br>3) The information (on website and on shirt's  label indicates that it is 100% cotton. It is not. It is 100% polyester, uncomfortable to use.<br>4) This shirt,  20-30 minutes after ironing, will lose it shape, and you will look like a rickshaw  driver after very long rainy day.<br>5) The price for 100% polyester shirts is usually 70% cheaper  than cotton, because difficult to wear in cold or hot days.<br>6) From the ethical point, looks like ""Amazon"" is taking very  strange business direction, by selling polyester as a cotton.<br>7) It is not ""Essential"" it is ""Strategic Mistake"".<br>I returned the item. Not acceptable.
"
3.0 out of 5 stars,"
  I purchased a 16” 32-33” French Blue shirt.  Very much liked the color, the fabric, the fit when I first tried it on.  It washed up nicely.  I liked it so much that I anticipated buying two to three more.  So, what’s the problem?  Well, when I put it on and with my hands at my side everything is great, however if I move my arms or do almost anything, the sleeves become 1-3 inches too short and I must return my hands to my sides and pull the sleeves back down.  It seems like the shirt is just too small across the back.
"
4.0 out of 5 stars,"
  I'm really happy I decided to order one of these shirts. I was looking to buy a red/blue tattersall and when I saw this, I figured it was worth a shot. I typically wear Brooks Brothers non-iron shirts, and while these aren't the same quality, they are definitely comparable to brands such as Calvin Klein. For the money, it is a fantastic value and I would have given it 5 stars had it not run pretty small. This is marketed as a 'regular fit', and while I am certainly a large guy (6'3 250), I expect a regular fit shirt to be relatively loose fitting given the measurements I buy (17.5, 35). This will not fit you if you are, sorry, very overweight or obese. I am going to order a 18"" neck next time and see how it fits.
"
2.0 out of 5 stars,"
  I bought this dress shirt from Amazon Basics and another dress shirt of the same size / color Kirkland brand from Costco as a test for which $20 men's long sleeve dress shirt is better. Costco wins. Comfortably.  The Amazon Basics shirt looks thinner and cheaper. It's fabric is a bit stiffer and less comfortable. Either the sleeves are a bit shorter for the listed size, or the shirt shrank -- neither of those options is good. Lint and fuzz cling to the Amazon shirt more, even though I washed it and the Costco shirt at the same time.<br><br>Overall, it's not an awful shirt, but if you've got access to a Costco, the choice for a $20 men's dress shirt is easy, and it's not Amazon Basics.
"
5.0 out of 5 stars,"
  These dress shirts are great! They are a nice white, fit well and awesome price! Can’t beat 20 bucks for a dress shirt anywhere else!<br>I first got this size shirt in the slim fit but was a little too tight for me, wanted more maneuverability of my arms (some people might like that tight though). So returned it no problem and got the regular fit and couldn’t be happier. Absolutely love it! Must buy! Oh and it really is non-iron! Comes out of wash great!
"
5.0 out of 5 stars,"
  This shirt surpassed my expectations for this price point.  I have been ordering another brand from Amazon and the quality of the Amazon Essentials shirt is so much better and the fit is better.  For all my dress shirts, this is going to be the shirt I buy.  When I lose a little weight, I will be buying Amazon Essential pants also.  Everything I have bought from Amazon Essentials so far has been excellent quality at an affordable price.  I'm hooked!!
"
5.0 out of 5 stars,"
  I bought this for my husband after I ran one of his white shirts in a colored wash and it came out gray.  He put this on as soon as I have it to him and really loves it.  I did notice that it is a bit see-through.  But he doesn't mind that his undershirt shows through.
"
4.0 out of 5 stars,"
  This is a very well constructed shirt for the average size man...highly recommend, but if you are a BIG size man; then this is not the shirt for you.  It is way to small in the stomach.  The sleeves and neck size are fantastic.  Fantastic price!
"
2.0 out of 5 stars,"
  This is the first time I have been disappointed by Amazon Essentials and I have bought several other items - which were all good.  The fabric used for this shirt is just not right. The label says cotton but I have my doubts.  Too shiny and doesn't feel right. Super grabbed lint, etc.  Reminds me of a gangster shirt.  Someone at Amazon Essentials dropped the ball.  I will never wear this shirt.  Sorry, Amazon, but this is bad.
"
1.0 out of 5 stars,"
  Way undersized, bought a Van Heusen shirt with this one, exact same neck and sleeve measurements. The Van Huesen shirt fit fine, this one I could not even button. I give it one star as the fabric was bright and colorfull.
"
