score,review
4.0 out of 5 stars,"
  Nice garment. I couldn’t wait to wear after its arrival. However, it had a lot of loose threads. Staff that was assigned to “clean it” did a lousy job. I took care of it but it was a nuisance. Got a beautiful shirt  after that little trimming.
"
5.0 out of 5 stars,"
  The shirt is very nice. Comfortable, fits well and  does not wrinkle.
"
2.0 out of 5 stars,"
  I ordered 34/35 sleeve length and it is the longest sleeve I’ve ever owned.  Have to roll up and cuff to wear otherwise I look like a pirate with billowing sleeves.  Actual measurement is closer to 37.  Useless as a work/office dress shirt unless you are Captain Jack Sparrow.
"
4.0 out of 5 stars,"
  Good fit at the neck/chest area. But would definitely consider getting the waist and sleeves tailored. The quality of stitching isn't superb, but adequate. Especially considering the casual nature of the shirt.
"
5.0 out of 5 stars,"
  Van Heusen is consistently dependable. This shirt was what I was looking for. It is dressy enough to wear with a tie and jacket, yet it also goes well with jeans. I definitely recommend it.
"
1.0 out of 5 stars,"
  Junk and paper thin shirt. I had to return two shirts as they had not been sewn at the edges of the sleeve cuff leaving a raw open fabric edge. They say easy care but they are heavily wrinkled straight out of the drier. Never buy again.
"
5.0 out of 5 stars,"
  The shirt comes out of the dryer looking pretty good.  I always iron them but it is much easier with a shirt that already looks pretty good.  The seams are straight and the fit is good.
"
1.0 out of 5 stars,"
  The seams on both sleeve cuffs came un-stitched with first laundering. The shirt is unusable!<br><br>Update: Shirt replaced quickly with easy return of the original. If this one holds up, I will update rating to 5 stars.
"
5.0 out of 5 stars,"
  Very nice color, excellent fit. Good wearability and thank god it comes in many sizes!!! I get compliments wearing these Van Heusen shirts, mainly because they fit! Plus, THEY LOOK GREAT, and the collars are very sturdy and clean-looking! I love the way these fit!
"
1.0 out of 5 stars,"
  My husband wore this shirt twice—washed on cold gentle cycle, delicate dryer as all his work shirts are. The cuffs have completely fallen apart on both sleeves! Not just the stitching either—the fabric itself has literally shredded. Extremely poor construction.
"
5.0 out of 5 stars,"
  This shirt is really nice looking, well made and wrinkle-free. Really, wrinkle-free. So why doesn't Van Heusen make more like this? I don't know. I certainly would buy a few more in solid colors. Now other Van Heusen shirts? Trashy, not wrinkle-free, not true to size and cheap looking although the same price. Go figure.
"
5.0 out of 5 stars,"
  Bought this for my husband to wear to our son’s rehearsal dinner. It looked very good with black dress pants and a tie. The shirt is made out of a very nice material, very easy to press.
"
5.0 out of 5 stars,"
  These fit as expected since you order by neck and sleeve size, it makes no sense to buy ones that are just s, m, lg, xl and expect a good fit.
"
1.0 out of 5 stars,"
  I noticed some threads loose on the left shoulder when I wore it the first time.  I thought they were just loose threads that could be cut.  Wore it a second time and went to cut the threads they are coming out in several places.  Very dissapointed.  This shirt waste of money.
"
1.0 out of 5 stars,"
  The shirt fit great but one of the seams ripped out after 6 months of little wear. I can’t recommend this shirt even though I have always had good luck with Van Heiden.
"
4.0 out of 5 stars,"
  Brought these shirts for my husband, he has broad shoulders so it fitted well there but waist area was abit loose. Overall it was good.
"
2.0 out of 5 stars,"
  Not easy care or wrinkle free.  Disappointed
"
5.0 out of 5 stars,"
  My husband wore out his Van Heusen dress shirt - he liked the look and fit that much. So glad we were able to order a new one online during our state's ""Stay At Home"" order.
"
5.0 out of 5 stars,"
  This shirt is great.  Just as advertised and I am happy as I didn't have to wait in a line!  In fact, I'm ordering more.
"
5.0 out of 5 stars,"
  I was happy to find the size, quality, and color needed.  I bought this shirt for my husband to wear to semi-dressy events.  It would be good for others to wear at anytime, but he is a tee shirt kind of guy so I needed a comfy and easy care shirt.  It fits well and I am happy.
"
5.0 out of 5 stars,"
  got this for my husband and it fit true to size, and it was half the price from big name stores, which is even better. And it fit as we expected it too. And the color looks good on him. No complaints
"
4.0 out of 5 stars,"
  Really like the shirt. It is a little snug through the chest and waist.  These seem to run a bit smaller than my other brand dress shirts of the same size.
"
5.0 out of 5 stars,"
  Van Huesen had the best dress shoes... great fabric, feel and amazing well made.  My Husbands fave' ~ look great on him!  PJ
"
5.0 out of 5 stars,"
  I ordered this shirt because I have one just like it -exactly the same. Older one is 5 years old and still like new.<br>Was replacing some others from other manufacturers with same stripe as collars started to wear from chin whiskers !! Oh, I do have many other shirts for all seasons blue pin striped are my casual favorites.
"
3.0 out of 5 stars,"
  An inexpensive shirt, and you get what you pay for.  The fit is a little blousy, and the fabric a bit thin.  Getting hard to find these traditional striped shirts in a button down style, so this one fills a need, but I doubt it will stand up well to repeated laundering.  Still, the price was right.
"
5.0 out of 5 stars,"
  Husband wears these types of shirts to work.  He likes them for their comfort.  I like them because they don’t need ironing.
"
1.0 out of 5 stars,"
  Defective stitching on pocket. See photo. Returning shirt.
"
4.0 out of 5 stars,"
  A little larger than I thought it would fit. Other than that it is a nice shirt. Not super well made but for the price a good shirt.
"
4.0 out of 5 stars,"
  I received a lot of shirts at the same time and tried them on. This shirt was the same size but was a lot bigger. It will do but not satisfied with the size.
"
5.0 out of 5 stars,"
  Its not a heavy dress shirt. More light then heavy. happy with it. Better then expected for the price.
"
5.0 out of 5 stars,"
  I find it very difficult to find good dress shirts with a 18 inch collar and 34-35 sleeve, but these exactly fit the bill. They are good looking, wrinkle resistant shirts.
"
1.0 out of 5 stars,"
  Unfortunately i didn't try the shirt one right after i purchased it.  This was a back up and its been way over a month since my purchase.  When i put it on for the first time the sleeves and cuffs were too small.  I couldn't button the cuffs.  The left button on the collar fell off before the end of the day.  Make sure you try it on the same day you get it , even if it is a backup.
"
2.0 out of 5 stars,"
  Wrinkles bad. Unlike the same model but has pinpoint on the collar. This one comes out immediately from the dryer and requires it to be ironed. Not good.
"
5.0 out of 5 stars,"
  Arrived on time, and they are a perfect fit for a paunchy old guy with a 17 1/2 inch neck size.
"
4.0 out of 5 stars,"
  I must say that I was pleasantly pleased with these purchases. Bought five at same size  and I am just please at the fit especially in neck and sleeves. Tailoring is nat bad either.
"
4.0 out of 5 stars,"
  It appears shirt manufactures are saving on material. tight in all the wrong places.
"
5.0 out of 5 stars,"
  Love it. Will buy another.  A true taylored shirt.  Would be A+ if it had a button down collar
"
5.0 out of 5 stars,"
  Beautiful shirt. Nice fabric. Excellent fit &amp; quality. Washes nicely. No wrinkles!
"
5.0 out of 5 stars,"
  My Hubby loves these shirts. Easy wash &amp; dry with little or no ironing.
"
5.0 out of 5 stars,"
  Purchased this shirt for my husband and it’s a great quality shirt.
"
4.0 out of 5 stars,"
  I ordered a couple of these shirts online because I could not find my exact size locally (16 x 34/35).  The fit is pretty good.  Just on the loose side (a tad) but maybe, after a wash, they'll be just right. The fabric is not super heavy...but not see-through, either. I like the weight. Overall, happy with the shirt. Basic dress shirt without all the frills.
"
5.0 out of 5 stars,"
  This was exactly to fit, I wear it for work. I love it. Great material and doesn't shrink or fade after a few washes.
"
