score,review
2.0 out of 5 stars,"
  This is basically a good shirt.  Most of my shirts are Van Huesen, and I appreciate them.  However, ithis was advertised and described as a FLEX  collar, and the collar did not stretch nor flex.  It had labels on it declaring that it was a Flex collar.  I have some Van Huesen shirts with flex flex collars, that have a built-in extendable collaf. They are good.  This one did not stretch.  Otherwise a good shirt.<br>  I think the supervisor of the guy over in Bangladesh (country of origin) told him to put 275 of the ""FLEX COLLAR"" tags on by lunch time, and the worker, perhaps not being literate, worked hard to get them all affixed.
"
5.0 out of 5 stars,"
  This shirt replaced a similar Joseph Fees brand dress shirt. I did have to iron it before the first wear, but since then it's been wash, dry, &amp; wear with no worries. I wore this shirt to a job interview, and next thing I know I've moved 2000 miles and I'm making more money than I ever have. Idk if that's the shirt's fault, but it certainly didn't hurt anything!
"
1.0 out of 5 stars,"
  This is the very first product review that I have ever written and I am 77 years old.  I bought two shirts, one white and one blue and they were delivered separately.  The white one was in original packaging and was perfect (apparently by another supplier).<br>The blue shirt is the issue.  It was delivered in a loose package and it looked like someone had been sleeping in it for a week.  It was completely wrinkled and out of its original packaging.  My wife wanted me to return it or take it to the cleaners for pressing but I'm not interested in paying someone to do something that should not be needed.  My wife agreed to iron the shirt so I hope the wrinkles come out but this is ridiculous.
"
1.0 out of 5 stars,"
  The sleeves are supposed to be 36-37 inches.  Not even close.  Plus the left sleeve is about 2 inches shorter than the right sleeve.  The right sleeve is about 34 inches and the left is too short to even button.  Not a good shirt.  I returned the other shirt and will keep this because I need a dress shirt for a wedding.  But, it will be a one time wear and then junk it.
"
5.0 out of 5 stars,"
  I have always liked Van Heusen shirts,<br>As they fit well, look good too!<br>I particularly like this color, but that’s a personal<br>preference. I highly recommend the quality though.
"
5.0 out of 5 stars,"
  Fits perfect, color and texture is great. Is cut nicely, too. For $22, I'd buy this shirt regularly. Some of the other colors were priced for a lot more but I won't spend any more for a shirt I wear to work when I can drive to the mall and spend $10 on the clearance rack for dress shirts.
"
3.0 out of 5 stars,"
  This is a decent shirt. but there are a few things of note about this shirt:<br>Pros:<br>1. The neck fit is nice with a little stretch<br>2. Wrinkle free is great<br>Cons:<br>1. The shirt came with a small black spot on it that doesn't seem to come out in the wash<br>2. By ""regular fit"" they mean huge. Like really HUGE. If you are not large person you should look for a ""slim fit"" or ""skinny fit"". This is more of a ""regal fit"" in my opinion.
"
5.0 out of 5 stars,"
  The wrinkle free shirt definitely needs to be ironed, but I expected that. The flex neck is very comfortable. The shirt fits true to size. I could probably use more of a tapered fit (I’m not a slim fit), but I ordered the regular classic fit which has plenty of room. I ordered 4 shirts. I will order more like this if I can find other colors in my size. Please note: the first two I ordered from Macy’s were a nightmare. When they arrived (the white one had two different size sleeves, as well as different style sleeves)! I wrote a negative review on Macy’s site and returned it to Macy’s in person. The salesperson didn’t ask any questions and didn’t care when I told him the issue. I did not want them to resell the shirt! 18” neck, 32-33” sleeves. So, I ordered 2 more through Amazon. These two arrived together but one was not in it’s original packaging, and was a mess. It was scrunched up in a ball and stuffed in a plastic bag. I planned on washing/ironing them first anyway and was thankful they fit and had matching (correct) style sleeves. The issue I think was Christmas time shopping over loud  and I believe Van Heusen is going out of business.
"
1.0 out of 5 stars,"
  The neck is to large, I measured against some other shirts I have and it is over an inch bigger. It is not a stretch neck as advertised. The sleeves are short, they are 2 to 3 inches shorter than my other shirts with the same sleeve length. I would send it back but I bought it for an event and I had to wear it, now it is going to Goodwill. Don't buy this shirt
"
5.0 out of 5 stars,"
  Very comfortable with a nice fit. The colors are bright and bold, which are perfect for me as an elementary teacher.<br><br>The only negative I've found is that Purple Haze is awfully close to Hearth, which I had ordered previously. I believe the camera flash has left it looking a bit brighter in the demo photo above than it actually appears in real life. I was somewhat disappointed when I put it in my closet and noticed that they were very close shades of one another, with Hearth just having a tinge more red than Purple Haze.
"
